theme,url,img,lines,author
COURAGE,/inspirational-quotes/8414-you-ll-never-do-a-whole-lot-unless-you-re-brave,https://assets.passiton.com/quotes/quote_artwork/8414/medium/20240126_friday_quote.jpg,You’ll never do a whole lot unless you’re brave enough to try.,<Author:0x00007f80cc237248>
COURAGE,/inspirational-quotes/7862-you-can-choose-courage-or-you-can-choose,https://assets.passiton.com/quotes/quote_artwork/7862/medium/20240125_thursday_quote.jpg,"You can choose courage, or you can choose comfort, but you cannot choose both.",<Author:0x00007f80cc21eb80>
COURAGE,/inspirational-quotes/6234-it-takes-courage-for-people-to-listen-to-their,https://assets.passiton.com/quotes/quote_artwork/6234/medium/20240123_tuesday_quote.jpg,It takes courage for people to listen to their own goodness and act on it. ,<Author:0x00007f80cc2045c8>
COURAGE,/inspirational-quotes/8251-courage-doesn-t-mean-you-aren-t-afraid-courage,https://assets.passiton.com/quotes/quote_artwork/8251/medium/20240122_monday_quote.jpg,Courage doesn’t mean you aren’t afraid. Courage means you don’t let fear stop you. ,<Author:0x00007f80cc266638>
BELIEVE,/inspirational-quotes/6817-sometimes-your-only-available-transportation-is,https://assets.passiton.com/quotes/quote_artwork/6817/medium/20240119_friday_quote.jpg,Sometimes your only available transportation is a leap of faith.,<Author:0x00007f80cc24d688>
BELIEVE,/inspirational-quotes/8412-if-you-believe-you-can-you-probably-can-if,https://assets.passiton.com/quotes/quote_artwork/8412/medium/20240118_thursday_quote.jpg,"If you believe you can, you probably can. If you believe you won’t, you most assuredly won’t. Belief is the ignition switch that gets you off the launching pad.",<Author:0x00007f80cc2b67f0>
BELIEVE,/inspirational-quotes/8411-faith-is-about-doing-you-are-how-you-act-not,https://assets.passiton.com/quotes/quote_artwork/8411/medium/20240117_wednesday_quote.jpg,"Faith is about doing. You are how you act, not just how you believe.",<Author:0x00007f80cc29de80>
BELIEVE,/inspirational-quotes/8413-i-want-to-suggest-some-of-the-things-that,https://assets.passiton.com/quotes/quote_artwork/8413/medium/20240115_image.jpg,"I want to suggest some of the things that should begin your life's blueprint. Number one...should be a deep belief in your own dignity. Your worth and your own somebodiness... Always feel that you count. Always feel that you have worth, and always feel that your life has ultimate significance.",<Author:0x00007f80cc391378>
BEING THERE,/inspirational-quotes/3685-lifes-most-urgent-question-is-what-are-you,https://assets.passiton.com/quotes/quote_artwork/3685/medium/20240112_friday_quote.jpg,Life's most urgent question is: What are you doing for others?,<Author:0x00007f80cc30b390>
BEING THERE,/inspirational-quotes/7765-family-means-putting-your-arms-around-each,https://assets.passiton.com/quotes/quote_artwork/7765/medium/20240111_thursday_quote.jpg,Family means putting your arms around each other and being there.,<Author:0x000055b341566bf8>
